
"service","web.whatsapp.com/157.240.25.54","443","INFO","HTTP","",""
"heartbleed","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","web.whatsapp.com/157.240.25.54","443","HIGH","potentially VULNERABLE, uses gzip HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","web.whatsapp.com/157.240.25.54","443","OK","supported","",""
"SWEET32","web.whatsapp.com/157.240.25.54","443","LOW","uses 64 bit block ciphers","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","web.whatsapp.com/157.240.25.54","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=EFF91CA1C7F57420063BF524E266BB62C786F1E9DAD6C8F23150CF2AA37B4A80","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","web.whatsapp.com/157.240.25.54","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","web.whatsapp.com/157.240.25.54","443","OK","no DH key","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","web.whatsapp.com/157.240.25.54","443","MEDIUM","ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-SHA ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA AES128-SHA AES256-SHA ECDHE-ECDSA-DES-CBC3-SHA ECDHE-RSA-DES-CBC3-SHA DES-CBC3-SHA","CVE-2011-3389","CWE-20"
"BEAST","web.whatsapp.com/157.240.25.54","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
"LUCKY13","web.whatsapp.com/157.240.25.54","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","web.whatsapp.com/157.240.25.54","443","HIGH","VULNERABLE, Detected ciphers: ECDHE-RSA-RC4-SHA ECDHE-ECDSA-RC4-SHA RC4-SHA","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","web.telegram.org/149.154.167.99","443","INFO","HTTP","",""
"heartbleed","web.telegram.org/149.154.167.99","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","web.telegram.org/149.154.167.99","443","HIGH","potentially VULNERABLE, uses gzip HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","web.telegram.org/149.154.167.99","443","OK","supported","",""
"SWEET32","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","web.telegram.org/149.154.167.99","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","web.telegram.org/149.154.167.99","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","web.telegram.org/149.154.167.99","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=70044F7F163329731DAF1EFCCFDDD0266BD0B1E60B0EBED946A30A631B389488","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","web.telegram.org/149.154.167.99","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","web.telegram.org/149.154.167.99","443","OK","--","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","web.telegram.org/149.154.167.99","443","MEDIUM","ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-SHA DHE-RSA-AES128-SHA AES128-SHA DHE-RSA-AES256-SHA AES256-SHA DHE-RSA-CAMELLIA256-SHA CAMELLIA256-SHA DHE-RSA-CAMELLIA128-SHA CAMELLIA128-SHA","CVE-2011-3389","CWE-20"
"BEAST","web.telegram.org/149.154.167.99","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
