"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.universitychevrolet.com/54.192.151.88","443","INFO","HTTP","",""
"pre_128cipher","www.universitychevrolet.com/54.192.151.88","443","INFO","No 128 cipher limit bug","",""
"heartbleed","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.universitychevrolet.com/54.192.151.88","443","WARN","probably not vulnerable but received 0x28 instead of 0x15","CVE-2014-0224","CWE-310"
"ticketbleed","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","www.universitychevrolet.com/54.192.151.88","443","OK","likely not vulnerable (timed out)","CVE-2009-3555","CWE-310"
"CRIME_TLS","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable, no HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.universitychevrolet.com/54.192.151.88","443","MEDIUM","some unexpected 'handshake failure' instead of 'inappropriate fallback' (likely: warning)","",""
"SWEET32","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","www.universitychevrolet.com/54.192.151.88","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=CF921E81407BEF2CC6EA2AEB8B5956843BA1130FD863FD85750D3F18D7510CA6","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.universitychevrolet.com/54.192.151.88","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.universitychevrolet.com/54.192.151.88","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.universitychevrolet.com/54.192.151.88","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
