"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","docs.adjust.com/178.162.219.35","443","INFO","HTTP","",""
"pre_128cipher","docs.adjust.com/178.162.219.35","443","INFO","No 128 cipher limit bug","",""
"heartbleed","docs.adjust.com/178.162.219.35","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","docs.adjust.com/178.162.219.35","443","OK","not vulnerable, no HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","docs.adjust.com/178.162.219.35","443","OK","supported","",""
"SWEET32","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","docs.adjust.com/178.162.219.35","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","docs.adjust.com/178.162.219.35","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=F438D93440DA8900712653A02050C36A5A50B9480DD5B0D895E7229269F2D1B7","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","docs.adjust.com/178.162.219.35","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","docs.adjust.com/178.162.219.35","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","docs.adjust.com/178.162.219.35","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","docs.adjust.com/178.162.219.35","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","docs.adjust.com/178.162.219.35","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","docs.adjust.com/178.162.219.36","443","INFO","HTTP","",""
"pre_128cipher","docs.adjust.com/178.162.219.36","443","INFO","No 128 cipher limit bug","",""
"heartbleed","docs.adjust.com/178.162.219.36","443","OK","not vulnerable , timed out","CVE-2014-0160","CWE-119"
"CCS","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","docs.adjust.com/178.162.219.36","443","OK","not vulnerable, no HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","docs.adjust.com/178.162.219.36","443","OK","supported","",""
"SWEET32","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","docs.adjust.com/178.162.219.36","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","docs.adjust.com/178.162.219.36","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=F438D93440DA8900712653A02050C36A5A50B9480DD5B0D895E7229269F2D1B7","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","docs.adjust.com/178.162.219.36","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","docs.adjust.com/178.162.219.36","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","docs.adjust.com/178.162.219.36","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","docs.adjust.com/178.162.219.36","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","docs.adjust.com/178.162.219.36","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
