"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.4fantasticevents.com/34.214.187.134","443","INFO","HTTP","",""
"pre_128cipher","www.4fantasticevents.com/34.214.187.134","443","INFO","No 128 cipher limit bug","",""
"heartbleed","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable CVE-2014-0160","CWE-119",""
"CCS","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.4fantasticevents.com/34.214.187.134","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"secure_client_renego","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2009-3555","CWE-310"
"CRIME_TLS","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.4fantasticevents.com/34.214.187.134","443","HIGH","potentially VULNERABLE, uses gzip HTTP compression  - only supplied '/calandar-of-events' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.4fantasticevents.com/34.214.187.134","443","OK","supported","",""
"SWEET32","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable to DROWN on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN","www.4fantasticevents.com/34.214.187.134","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://censys.io/ipv4?q=7083EF4D508D625F844C4FE2F148226888B48CE1EF0A6EA30709CB2597D1C753","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","www.4fantasticevents.com/34.214.187.134","443","INFO","HAProxy","CVE-2015-4000","CWE-310"
"LOGJAM","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"BEAST","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.4fantasticevents.com/34.214.187.134","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"RC4","www.4fantasticevents.com/34.214.187.134","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"service","www.4fantasticevents.com/52.36.170.215","443","INFO","HTTP","",""
