####################################
Training Start Date: 2019-09-16
Training Start Time: 15-56-32
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-09-12_12-56-04.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

Model: "sequential"

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm (CuDNNLSTM)       (None, 1000, 147)         174048    

_________________________________________________________________

activation (Activation)      (None, 1000, 147)         0         

=================================================================

Total params: 174,048

Trainable params: 174,048

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.005598	Val Loss: 0.004987
Epoch  #2	Train Loss: 0.004249	Val Loss: 0.003594
Epoch  #3	Train Loss: 0.003495	Val Loss: 0.003360
Epoch  #4	Train Loss: 0.003281	Val Loss: 0.003180
Epoch  #5	Train Loss: 0.003146	Val Loss: 0.003082
Epoch  #6	Train Loss: 0.003038	Val Loss: 0.002974
Epoch  #7	Train Loss: 0.002940	Val Loss: 0.002886
Epoch  #8	Train Loss: 0.002876	Val Loss: 0.002837
Epoch  #9	Train Loss: 0.002834	Val Loss: 0.002781
Epoch  #10	Train Loss: 0.002778	Val Loss: 0.002760
Epoch  #11	Train Loss: 0.002756	Val Loss: 0.002721
Epoch  #12	Train Loss: 0.002740	Val Loss: 0.002710
Epoch  #13	Train Loss: 0.002725	Val Loss: 0.002702
Epoch  #14	Train Loss: 0.002714	Val Loss: 0.002690
Epoch  #15	Train Loss: 0.002705	Val Loss: 0.002680
Epoch  #16	Train Loss: 0.002696	Val Loss: 0.002680
Epoch  #17	Train Loss: 0.002689	Val Loss: 0.002653
Epoch  #18	Train Loss: 0.002683	Val Loss: 0.002660
Epoch  #19	Train Loss: 0.002675	Val Loss: 0.002662
Epoch  #20	Train Loss: 0.002670	Val Loss: 0.002645
Epoch  #21	Train Loss: 0.002665	Val Loss: 0.002646
Epoch  #22	Train Loss: 0.002659	Val Loss: 0.002649
Epoch  #23	Train Loss: 0.002653	Val Loss: 0.002640
Epoch  #24	Train Loss: 0.002649	Val Loss: 0.002617
Epoch  #25	Train Loss: 0.002644	Val Loss: 0.002615
Epoch  #26	Train Loss: 0.002639	Val Loss: 0.002610
Epoch  #27	Train Loss: 0.002635	Val Loss: 0.002608
Epoch  #28	Train Loss: 0.002629	Val Loss: 0.002605
Epoch  #29	Train Loss: 0.002600	Val Loss: 0.002564
Epoch  #30	Train Loss: 0.002589	Val Loss: 0.002558
Epoch  #31	Train Loss: 0.002582	Val Loss: 0.002555
Epoch  #32	Train Loss: 0.002575	Val Loss: 0.002552
Epoch  #33	Train Loss: 0.002567	Val Loss: 0.002551
Epoch  #34	Train Loss: 0.002561	Val Loss: 0.002525
Epoch  #35	Train Loss: 0.002556	Val Loss: 0.002538
Epoch  #36	Train Loss: 0.002551	Val Loss: 0.002533
Epoch  #37	Train Loss: 0.002546	Val Loss: 0.002517
Epoch  #38	Train Loss: 0.002541	Val Loss: 0.002514
Epoch  #39	Train Loss: 0.002518	Val Loss: 0.002490
Epoch  #40	Train Loss: 0.002501	Val Loss: 0.002474
Epoch  #41	Train Loss: 0.002496	Val Loss: 0.002476
Epoch  #42	Train Loss: 0.002492	Val Loss: 0.002458
Epoch  #43	Train Loss: 0.002488	Val Loss: 0.002460
Epoch  #44	Train Loss: 0.002483	Val Loss: 0.002461
Epoch  #45	Train Loss: 0.002479	Val Loss: 0.002459
Epoch  #46	Train Loss: 0.002474	Val Loss: 0.002453
Epoch  #47	Train Loss: 0.002470	Val Loss: 0.002459
Epoch  #48	Train Loss: 0.002463	Val Loss: 0.002438
Epoch  #49	Train Loss: 0.002453	Val Loss: 0.002424
Epoch  #50	Train Loss: 0.002445	Val Loss: 0.002425
Epoch  #51	Train Loss: 0.002437	Val Loss: 0.002424
Epoch  #52	Train Loss: 0.002430	Val Loss: 0.002410
Epoch  #53	Train Loss: 0.002423	Val Loss: 0.002403
Epoch  #54	Train Loss: 0.002415	Val Loss: 0.002388
Epoch  #55	Train Loss: 0.002404	Val Loss: 0.002379
Epoch  #56	Train Loss: 0.002397	Val Loss: 0.002373
Epoch  #57	Train Loss: 0.002390	Val Loss: 0.002362
Epoch  #58	Train Loss: 0.002385	Val Loss: 0.002363
Epoch  #59	Train Loss: 0.002379	Val Loss: 0.002357
Epoch  #60	Train Loss: 0.002374	Val Loss: 0.002354
Epoch  #61	Train Loss: 0.002369	Val Loss: 0.002349
Epoch  #62	Train Loss: 0.002364	Val Loss: 0.002329
Epoch  #63	Train Loss: 0.002360	Val Loss: 0.002332
Epoch  #64	Train Loss: 0.002355	Val Loss: 0.002330
Epoch  #65	Train Loss: 0.002352	Val Loss: 0.002334
Epoch  #66	Train Loss: 0.002348	Val Loss: 0.002317
Epoch  #67	Train Loss: 0.002344	Val Loss: 0.002324
Epoch  #68	Train Loss: 0.002341	Val Loss: 0.002315
Epoch  #69	Train Loss: 0.002338	Val Loss: 0.002312
Epoch  #70	Train Loss: 0.002334	Val Loss: 0.002312
