####################################
Training Start Date: 2019-08-28
Training Start Time: 11-18-06
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-08-27_14-56-37.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

Model: "sequential"

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm (CuDNNLSTM)       (None, 1000, 109)         95920     

_________________________________________________________________

activation (Activation)      (None, 1000, 109)         0         

=================================================================

Total params: 95,920

Trainable params: 95,920

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.016351	Val Loss: 0.009778
Epoch  #2	Train Loss: 0.009582	Val Loss: 0.007117
Epoch  #3	Train Loss: 0.007507	Val Loss: 0.007573
Epoch  #4	Train Loss: 0.006315	Val Loss: 0.006275
Epoch  #5	Train Loss: 0.005876	Val Loss: 0.007555
Epoch  #6	Train Loss: 0.005631	Val Loss: 0.005169
Epoch  #7	Train Loss: 0.005384	Val Loss: 0.005527
Epoch  #8	Train Loss: 0.005195	Val Loss: 0.004994
Epoch  #9	Train Loss: 0.005032	Val Loss: 0.004594
Epoch  #10	Train Loss: 0.004904	Val Loss: 0.004068
Epoch  #11	Train Loss: 0.004774	Val Loss: 0.003920
Epoch  #12	Train Loss: 0.004645	Val Loss: 0.004610
Epoch  #13	Train Loss: 0.004529	Val Loss: 0.004146
Epoch  #14	Train Loss: 0.004408	Val Loss: 0.003936
Epoch  #15	Train Loss: 0.004331	Val Loss: 0.004134
Epoch  #16	Train Loss: 0.004245	Val Loss: 0.004551
Epoch  #17	Train Loss: 0.004162	Val Loss: 0.004482
Epoch  #18	Train Loss: 0.004108	Val Loss: 0.004494
Epoch  #19	Train Loss: 0.004035	Val Loss: 0.004145
Epoch  #20	Train Loss: 0.003979	Val Loss: 0.004058
Epoch  #21	Train Loss: 0.003947	Val Loss: 0.004686
Epoch  #22	Train Loss: 0.003885	Val Loss: 0.003446
Epoch  #23	Train Loss: 0.003853	Val Loss: 0.003736
Epoch  #24	Train Loss: 0.003813	Val Loss: 0.003030
Epoch  #25	Train Loss: 0.003779	Val Loss: 0.003651
Epoch  #26	Train Loss: 0.003744	Val Loss: 0.003273
Epoch  #27	Train Loss: 0.003706	Val Loss: 0.003487
Epoch  #28	Train Loss: 0.003672	Val Loss: 0.003798
Epoch  #29	Train Loss: 0.003650	Val Loss: 0.002886
Epoch  #30	Train Loss: 0.003606	Val Loss: 0.003277
Epoch  #31	Train Loss: 0.003592	Val Loss: 0.003458
Epoch  #32	Train Loss: 0.003565	Val Loss: 0.003572
Epoch  #33	Train Loss: 0.003538	Val Loss: 0.003627
Epoch  #34	Train Loss: 0.003509	Val Loss: 0.003326
Epoch  #35	Train Loss: 0.003481	Val Loss: 0.003607
Epoch  #36	Train Loss: 0.003460	Val Loss: 0.003775
Epoch  #37	Train Loss: 0.003440	Val Loss: 0.003692
Epoch  #38	Train Loss: 0.003413	Val Loss: 0.003319
Epoch  #39	Train Loss: 0.003402	Val Loss: 0.003081
Epoch  #40	Train Loss: 0.003377	Val Loss: 0.003130
Epoch  #41	Train Loss: 0.003358	Val Loss: 0.003073
Epoch  #42	Train Loss: 0.003336	Val Loss: 0.003225
Epoch  #43	Train Loss: 0.003295	Val Loss: 0.003180
Epoch  #44	Train Loss: 0.003267	Val Loss: 0.003005
Epoch  #45	Train Loss: 0.003247	Val Loss: 0.003175
Epoch  #46	Train Loss: 0.003237	Val Loss: 0.003142
Epoch  #47	Train Loss: 0.003216	Val Loss: 0.002632
Epoch  #48	Train Loss: 0.003206	Val Loss: 0.003347
Epoch  #49	Train Loss: 0.003196	Val Loss: 0.003831
Epoch  #50	Train Loss: 0.003189	Val Loss: 0.003152
Epoch  #51	Train Loss: 0.003153	Val Loss: 0.003137
Epoch  #52	Train Loss: 0.003133	Val Loss: 0.002579
Epoch  #53	Train Loss: 0.003127	Val Loss: 0.002834
Epoch  #54	Train Loss: 0.003111	Val Loss: 0.003083
Epoch  #55	Train Loss: 0.003104	Val Loss: 0.002469
Epoch  #56	Train Loss: 0.003091	Val Loss: 0.002833
Epoch  #57	Train Loss: 0.003083	Val Loss: 0.002747
Epoch  #58	Train Loss: 0.003074	Val Loss: 0.002761
Epoch  #59	Train Loss: 0.003064	Val Loss: 0.002403
Epoch  #60	Train Loss: 0.003057	Val Loss: 0.002979
Epoch  #61	Train Loss: 0.003049	Val Loss: 0.002586
Epoch  #62	Train Loss: 0.003034	Val Loss: 0.002901
Epoch  #63	Train Loss: 0.003031	Val Loss: 0.003568
Epoch  #64	Train Loss: 0.003015	Val Loss: 0.003585
Epoch  #65	Train Loss: 0.003010	Val Loss: 0.002814
Epoch  #66	Train Loss: 0.003001	Val Loss: 0.002443
Epoch  #67	Train Loss: 0.002992	Val Loss: 0.002424
Epoch  #68	Train Loss: 0.002987	Val Loss: 0.002688
Epoch  #69	Train Loss: 0.002978	Val Loss: 0.002681
Epoch  #70	Train Loss: 0.002970	Val Loss: 0.002782
Epoch  #71	Train Loss: 0.002959	Val Loss: 0.002381
Epoch  #72	Train Loss: 0.002952	Val Loss: 0.002707
Epoch  #73	Train Loss: 0.002944	Val Loss: 0.003027
Epoch  #74	Train Loss: 0.002934	Val Loss: 0.002722
Epoch  #75	Train Loss: 0.002932	Val Loss: 0.002727
Epoch  #76	Train Loss: 0.002923	Val Loss: 0.003258
Epoch  #77	Train Loss: 0.002918	Val Loss: 0.002800
Epoch  #78	Train Loss: 0.002907	Val Loss: 0.002817
Epoch  #79	Train Loss: 0.002903	Val Loss: 0.002848
Epoch  #80	Train Loss: 0.002896	Val Loss: 0.002836
Epoch  #81	Train Loss: 0.002892	Val Loss: 0.002440
Epoch  #82	Train Loss: 0.002879	Val Loss: 0.002411
Epoch  #83	Train Loss: 0.002877	Val Loss: 0.002846
Epoch  #84	Train Loss: 0.002872	Val Loss: 0.002491
Epoch  #85	Train Loss: 0.002866	Val Loss: 0.002505
Epoch  #86	Train Loss: 0.002858	Val Loss: 0.003279
Epoch  #87	Train Loss: 0.002855	Val Loss: 0.003008
Epoch  #88	Train Loss: 0.002845	Val Loss: 0.002670
Epoch  #89	Train Loss: 0.002843	Val Loss: 0.002484
Epoch  #90	Train Loss: 0.002831	Val Loss: 0.003077
Epoch  #91	Train Loss: 0.002825	Val Loss: 0.002533
Epoch  #92	Train Loss: 0.002819	Val Loss: 0.002782
Epoch  #93	Train Loss: 0.002811	Val Loss: 0.002447
Epoch  #94	Train Loss: 0.002811	Val Loss: 0.002908
Epoch  #95	Train Loss: 0.002794	Val Loss: 0.002783
Epoch  #96	Train Loss: 0.002789	Val Loss: 0.002465
Epoch  #97	Train Loss: 0.002789	Val Loss: 0.002676
Epoch  #98	Train Loss: 0.002781	Val Loss: 0.002570
Epoch  #99	Train Loss: 0.002771	Val Loss: 0.002696
Epoch  #100	Train Loss: 0.002769	Val Loss: 0.002460

#####  TRAIN/VAL MEAN ACCURACY  #####
Epoch  #5	Train Mean Accuracy: 0.880654	Val Mean Accuracy: 0.879166
Epoch  #10	Train Mean Accuracy: 0.901868	Val Mean Accuracy: 0.900953
