####################################
Training Start Date: 2019-07-09
Training Start Time: 15-56-55
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-07-05_13-30-38.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm_1 (CuDNNLSTM)     (None, 1000, 109)         95920     

_________________________________________________________________

activation_1 (Activation)    (None, 1000, 109)         0         

=================================================================

Total params: 95,920

Trainable params: 95,920

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.000517	Val Loss: 0.000363
Epoch  #2	Train Loss: 0.000346	Val Loss: 0.000300
Epoch  #3	Train Loss: 0.000307	Val Loss: 0.000284
Epoch  #4	Train Loss: 0.000289	Val Loss: 0.000270
Epoch  #5	Train Loss: 0.000271	Val Loss: 0.000246
Epoch  #6	Train Loss: 0.000259	Val Loss: 0.000238
Epoch  #7	Train Loss: 0.000253	Val Loss: 0.000235
Epoch  #8	Train Loss: 0.000250	Val Loss: 0.000232
Epoch  #9	Train Loss: 0.000247	Val Loss: 0.000229
Epoch  #10	Train Loss: 0.000245	Val Loss: 0.000229
Epoch  #11	Train Loss: 0.000244	Val Loss: 0.000226
Epoch  #12	Train Loss: 0.000242	Val Loss: 0.000225
Epoch  #13	Train Loss: 0.000235	Val Loss: 0.000216
Epoch  #14	Train Loss: 0.000232	Val Loss: 0.000216
Epoch  #15	Train Loss: 0.000226	Val Loss: 0.000210
Epoch  #16	Train Loss: 0.000222	Val Loss: 0.000207
Epoch  #17	Train Loss: 0.000221	Val Loss: 0.000209
Epoch  #18	Train Loss: 0.000221	Val Loss: 0.000205
Epoch  #19	Train Loss: 0.000219	Val Loss: 0.000204
Epoch  #20	Train Loss: 0.000218	Val Loss: 0.000203
Epoch  #21	Train Loss: 0.000217	Val Loss: 0.000203
Epoch  #22	Train Loss: 0.000216	Val Loss: 0.000202
