####################################
Training Start Date: 2019-04-28
Training Start Time: 19-18-34
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-04-28_08-48-01.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

lstm_1 (LSTM)                (None, 100, 146)          171112    

_________________________________________________________________

activation_1 (Activation)    (None, 100, 146)          0         

=================================================================

Total params: 171,112

Trainable params: 171,112

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.003901	Val Loss: 0.002426
Epoch  #2	Train Loss: 0.002232	Val Loss: 0.002035
Epoch  #3	Train Loss: 0.002008	Val Loss: 0.001904
Epoch  #4	Train Loss: 0.001903	Val Loss: 0.001787
Epoch  #5	Train Loss: 0.001787	Val Loss: 0.001719
Epoch  #6	Train Loss: 0.001733	Val Loss: 0.001675
Epoch  #7	Train Loss: 0.001695	Val Loss: 0.001685
Epoch  #8	Train Loss: 0.001672	Val Loss: 0.001659
Epoch  #9	Train Loss: 0.001654	Val Loss: 0.001626
Epoch  #10	Train Loss: 0.001639	Val Loss: 0.001664
Epoch  #11	Train Loss: 0.001627	Val Loss: 0.001697
Epoch  #12	Train Loss: 0.001585	Val Loss: 0.001638
Epoch  #13	Train Loss: 0.001559	Val Loss: 0.001645
Epoch  #14	Train Loss: 0.001567	Val Loss: 0.001629
Epoch  #15	Train Loss: 0.001544	Val Loss: 0.001634
Epoch  #16	Train Loss: 0.001535	Val Loss: 0.001505
Epoch  #17	Train Loss: 0.001528	Val Loss: 0.001498
Epoch  #18	Train Loss: 0.001522	Val Loss: 0.001616
Epoch  #19	Train Loss: 0.001516	Val Loss: 0.001485
Epoch  #20	Train Loss: 0.001511	Val Loss: 0.001491
Epoch  #21	Train Loss: 0.001506	Val Loss: 0.001605
Epoch  #22	Train Loss: 0.001499	Val Loss: 0.001609
Epoch  #23	Train Loss: 0.001494	Val Loss: 0.001608
Epoch  #24	Train Loss: 0.001489	Val Loss: 0.001467
Epoch  #25	Train Loss: 0.001484	Val Loss: 0.001460
Epoch  #26	Train Loss: 0.001479	Val Loss: 0.001456
Epoch  #27	Train Loss: 0.001473	Val Loss: 0.001452
Epoch  #28	Train Loss: 0.001468	Val Loss: 0.001454
Epoch  #29	Train Loss: 0.001463	Val Loss: 0.001447
Epoch  #30	Train Loss: 0.001460	Val Loss: 0.001434
Epoch  #31	Train Loss: 0.001451	Val Loss: 0.001434
Epoch  #32	Train Loss: 0.001444	Val Loss: 0.001429
Epoch  #33	Train Loss: 0.001437	Val Loss: 0.001419
Epoch  #34	Train Loss: 0.001430	Val Loss: 0.001414
Epoch  #35	Train Loss: 0.001427	Val Loss: 0.001422
Epoch  #36	Train Loss: 0.001404	Val Loss: 0.001364
Epoch  #37	Train Loss: 0.001371	Val Loss: 0.001365
Epoch  #38	Train Loss: 0.001366	Val Loss: 0.001382
Epoch  #39	Train Loss: 0.001362	Val Loss: 0.001358
Epoch  #40	Train Loss: 0.001358	Val Loss: 0.001353
