####################################
Training Start Date: 2019-07-22
Training Start Time: 15-23-10
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-07-16_10-51-05.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm_1 (CuDNNLSTM)     (None, 1000, 109)         95920     

_________________________________________________________________

activation_1 (Activation)    (None, 1000, 109)         0         

=================================================================

Total params: 95,920

Trainable params: 95,920

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.020829	Val Loss: 0.019535
Epoch  #2	Train Loss: 0.019376	Val Loss: 0.019061
Epoch  #3	Train Loss: 0.018955	Val Loss: 0.018651
Epoch  #4	Train Loss: 0.015832	Val Loss: 0.011709
Epoch  #5	Train Loss: 0.011562	Val Loss: 0.011554
Epoch  #6	Train Loss: 0.011070	Val Loss: 0.010896
Epoch  #7	Train Loss: 0.010744	Val Loss: 0.010503
Epoch  #8	Train Loss: 0.010455	Val Loss: 0.010279
Epoch  #9	Train Loss: 0.010192	Val Loss: 0.010071
Epoch  #10	Train Loss: 0.009981	Val Loss: 0.009816
Epoch  #11	Train Loss: 0.009748	Val Loss: 0.009622
Epoch  #12	Train Loss: 0.009573	Val Loss: 0.009660
Epoch  #13	Train Loss: 0.009412	Val Loss: 0.009468
Epoch  #14	Train Loss: 0.009259	Val Loss: 0.009155
Epoch  #15	Train Loss: 0.009130	Val Loss: 0.009137
Epoch  #16	Train Loss: 0.009002	Val Loss: 0.008908
Epoch  #17	Train Loss: 0.008881	Val Loss: 0.008873
Epoch  #18	Train Loss: 0.008788	Val Loss: 0.008741
Epoch  #19	Train Loss: 0.008396	Val Loss: 0.008421
Epoch  #20	Train Loss: 0.008185	Val Loss: 0.008253
Epoch  #21	Train Loss: 0.007906	Val Loss: 0.007816
Epoch  #22	Train Loss: 0.007658	Val Loss: 0.007641
Epoch  #23	Train Loss: 0.007470	Val Loss: 0.007454
Epoch  #24	Train Loss: 0.007345	Val Loss: 0.007381
Epoch  #25	Train Loss: 0.007244	Val Loss: 0.007267
Epoch  #26	Train Loss: 0.007152	Val Loss: 0.007148
Epoch  #27	Train Loss: 0.007087	Val Loss: 0.007150
Epoch  #28	Train Loss: 0.007011	Val Loss: 0.007012
Epoch  #29	Train Loss: 0.006932	Val Loss: 0.006946
Epoch  #30	Train Loss: 0.006867	Val Loss: 0.006907
Epoch  #31	Train Loss: 0.006790	Val Loss: 0.006819
Epoch  #32	Train Loss: 0.006704	Val Loss: 0.006778
Epoch  #33	Train Loss: 0.006630	Val Loss: 0.006853
Epoch  #34	Train Loss: 0.006590	Val Loss: 0.006713
Epoch  #35	Train Loss: 0.006547	Val Loss: 0.006634
Epoch  #36	Train Loss: 0.006524	Val Loss: 0.006571
Epoch  #37	Train Loss: 0.006472	Val Loss: 0.006573
Epoch  #38	Train Loss: 0.006426	Val Loss: 0.006500
Epoch  #39	Train Loss: 0.006397	Val Loss: 0.006518
Epoch  #40	Train Loss: 0.006370	Val Loss: 0.006469
Epoch  #41	Train Loss: 0.006331	Val Loss: 0.006383
Epoch  #42	Train Loss: 0.006295	Val Loss: 0.006342
Epoch  #43	Train Loss: 0.006264	Val Loss: 0.006413
Epoch  #44	Train Loss: 0.006241	Val Loss: 0.006309
Epoch  #45	Train Loss: 0.006210	Val Loss: 0.006280
Epoch  #46	Train Loss: 0.006183	Val Loss: 0.006259
Epoch  #47	Train Loss: 0.006163	Val Loss: 0.006234
Epoch  #48	Train Loss: 0.006136	Val Loss: 0.006227
Epoch  #49	Train Loss: 0.006119	Val Loss: 0.006183
Epoch  #50	Train Loss: 0.006084	Val Loss: 0.006206
Epoch  #51	Train Loss: 0.006060	Val Loss: 0.006182
Epoch  #52	Train Loss: 0.006046	Val Loss: 0.006150
Epoch  #53	Train Loss: 0.006015	Val Loss: 0.006057
Epoch  #54	Train Loss: 0.005861	Val Loss: 0.005955
Epoch  #55	Train Loss: 0.005786	Val Loss: 0.005845
Epoch  #56	Train Loss: 0.005727	Val Loss: 0.005845
Epoch  #57	Train Loss: 0.005714	Val Loss: 0.005818
Epoch  #58	Train Loss: 0.005686	Val Loss: 0.005830
Epoch  #59	Train Loss: 0.005662	Val Loss: 0.005785
Epoch  #60	Train Loss: 0.005645	Val Loss: 0.005772
Epoch  #61	Train Loss: 0.005621	Val Loss: 0.005729
Epoch  #62	Train Loss: 0.005607	Val Loss: 0.005707
Epoch  #63	Train Loss: 0.005589	Val Loss: 0.005774
Epoch  #64	Train Loss: 0.005589	Val Loss: 0.005668
Epoch  #65	Train Loss: 0.005559	Val Loss: 0.005694
Epoch  #66	Train Loss: 0.005549	Val Loss: 0.005649
Epoch  #67	Train Loss: 0.005518	Val Loss: 0.005716
Epoch  #68	Train Loss: 0.005500	Val Loss: 0.005629
Epoch  #69	Train Loss: 0.005481	Val Loss: 0.005619
