####################################
Training Start Date: 2019-07-17
Training Start Time: 16-24-33
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-07-09_01-46-48.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

lstm_1 (LSTM)                (None, 1000, 109)         95484     

_________________________________________________________________

activation_1 (Activation)    (None, 1000, 109)         0         

=================================================================

Total params: 95,484

Trainable params: 95,484

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.016266	Val Loss: 0.013481
Epoch  #2	Train Loss: 0.013080	Val Loss: 0.013147
Epoch  #3	Train Loss: 0.012887	Val Loss: 0.012867
Epoch  #4	Train Loss: 0.012642	Val Loss: 0.012552
Epoch  #5	Train Loss: 0.012328	Val Loss: 0.012378
Epoch  #6	Train Loss: 0.012077	Val Loss: 0.012169
Epoch  #7	Train Loss: 0.011831	Val Loss: 0.011707
Epoch  #8	Train Loss: 0.011508	Val Loss: 0.011527
Epoch  #9	Train Loss: 0.011176	Val Loss: 0.011205
Epoch  #10	Train Loss: 0.010832	Val Loss: 0.010839
Epoch  #11	Train Loss: 0.010603	Val Loss: 0.010634
Epoch  #12	Train Loss: 0.010378	Val Loss: 0.010360
Epoch  #13	Train Loss: 0.010197	Val Loss: 0.010201
Epoch  #14	Train Loss: 0.010002	Val Loss: 0.009915
Epoch  #15	Train Loss: 0.009745	Val Loss: 0.009805
Epoch  #16	Train Loss: 0.009532	Val Loss: 0.009531
Epoch  #17	Train Loss: 0.009380	Val Loss: 0.009394
Epoch  #18	Train Loss: 0.009188	Val Loss: 0.009323
Epoch  #19	Train Loss: 0.009049	Val Loss: 0.009098
Epoch  #20	Train Loss: 0.008897	Val Loss: 0.009336
Epoch  #21	Train Loss: 0.008768	Val Loss: 0.009056
Epoch  #22	Train Loss: 0.008662	Val Loss: 0.008747
Epoch  #23	Train Loss: 0.007724	Val Loss: 0.007363
Epoch  #24	Train Loss: 0.007050	Val Loss: 0.007197
Epoch  #25	Train Loss: 0.006807	Val Loss: 0.006836
Epoch  #26	Train Loss: 0.006616	Val Loss: 0.006656
Epoch  #27	Train Loss: 0.006495	Val Loss: 0.006577
Epoch  #28	Train Loss: 0.006343	Val Loss: 0.006506
Epoch  #29	Train Loss: 0.006240	Val Loss: 0.006345
Epoch  #30	Train Loss: 0.006170	Val Loss: 0.006281
Epoch  #31	Train Loss: 0.006061	Val Loss: 0.006276
Epoch  #32	Train Loss: 0.005978	Val Loss: 0.006203
Epoch  #33	Train Loss: 0.005922	Val Loss: 0.006035
Epoch  #34	Train Loss: 0.005851	Val Loss: 0.006032
Epoch  #35	Train Loss: 0.005772	Val Loss: 0.006050
Epoch  #36	Train Loss: 0.005646	Val Loss: 0.005672
Epoch  #37	Train Loss: 0.005377	Val Loss: 0.005536
Epoch  #38	Train Loss: 0.005296	Val Loss: 0.005435
Epoch  #39	Train Loss: 0.005213	Val Loss: 0.005396
Epoch  #40	Train Loss: 0.005133	Val Loss: 0.005295
Epoch  #41	Train Loss: 0.005070	Val Loss: 0.005220
Epoch  #42	Train Loss: 0.005001	Val Loss: 0.005198
Epoch  #43	Train Loss: 0.004939	Val Loss: 0.005084
Epoch  #44	Train Loss: 0.004875	Val Loss: 0.005077
Epoch  #45	Train Loss: 0.004840	Val Loss: 0.005006
Epoch  #46	Train Loss: 0.004742	Val Loss: 0.005172
Epoch  #47	Train Loss: 0.004737	Val Loss: 0.005001
Epoch  #48	Train Loss: 0.004681	Val Loss: 0.004902
Epoch  #49	Train Loss: 0.004635	Val Loss: 0.004913
Epoch  #50	Train Loss: 0.004578	Val Loss: 0.004882
Epoch  #51	Train Loss: 0.004550	Val Loss: 0.004800
Epoch  #52	Train Loss: 0.004506	Val Loss: 0.004751
Epoch  #53	Train Loss: 0.004468	Val Loss: 0.004703
Epoch  #54	Train Loss: 0.004438	Val Loss: 0.004817
