####################################
Training Start Date: 2019-09-17
Training Start Time: 13-59-18
Batch Size: 16
Epoch: 100
Feature file used: features_tls_2019-09-11_13-31-58.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

Model: "sequential"

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm (CuDNNLSTM)       (None, 1000, 147)         174048    

_________________________________________________________________

activation (Activation)      (None, 1000, 147)         0         

=================================================================

Total params: 174,048

Trainable params: 174,048

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.010799	Val Loss: 0.008932
Epoch  #2	Train Loss: 0.008543	Val Loss: 0.008210
Epoch  #3	Train Loss: 0.007926	Val Loss: 0.007523
Epoch  #4	Train Loss: 0.007596	Val Loss: 0.007267
Epoch  #5	Train Loss: 0.007363	Val Loss: 0.007058
Epoch  #6	Train Loss: 0.007178	Val Loss: 0.006905
Epoch  #7	Train Loss: 0.007032	Val Loss: 0.006811
Epoch  #8	Train Loss: 0.006912	Val Loss: 0.006711
Epoch  #9	Train Loss: 0.005239	Val Loss: 0.004812
Epoch  #10	Train Loss: 0.004899	Val Loss: 0.004697
Epoch  #11	Train Loss: 0.004779	Val Loss: 0.004612
Epoch  #12	Train Loss: 0.004693	Val Loss: 0.004514
Epoch  #13	Train Loss: 0.004621	Val Loss: 0.004428
Epoch  #14	Train Loss: 0.004559	Val Loss: 0.004411
Epoch  #15	Train Loss: 0.004503	Val Loss: 0.004309
Epoch  #16	Train Loss: 0.004452	Val Loss: 0.004284
Epoch  #17	Train Loss: 0.004407	Val Loss: 0.004291
Epoch  #18	Train Loss: 0.004369	Val Loss: 0.004203
Epoch  #19	Train Loss: 0.004331	Val Loss: 0.004170
Epoch  #20	Train Loss: 0.004296	Val Loss: 0.004153
Epoch  #21	Train Loss: 0.004266	Val Loss: 0.004089
Epoch  #22	Train Loss: 0.004236	Val Loss: 0.004196
Epoch  #23	Train Loss: 0.004209	Val Loss: 0.004063
Epoch  #24	Train Loss: 0.004183	Val Loss: 0.004042
Epoch  #25	Train Loss: 0.004158	Val Loss: 0.004056
Epoch  #26	Train Loss: 0.004136	Val Loss: 0.004022
Epoch  #27	Train Loss: 0.004114	Val Loss: 0.003985
Epoch  #28	Train Loss: 0.004095	Val Loss: 0.003966
Epoch  #29	Train Loss: 0.004076	Val Loss: 0.003956
Epoch  #30	Train Loss: 0.004058	Val Loss: 0.003945
Epoch  #31	Train Loss: 0.004040	Val Loss: 0.003918
Epoch  #32	Train Loss: 0.004024	Val Loss: 0.003903
Epoch  #33	Train Loss: 0.004008	Val Loss: 0.003886
Epoch  #34	Train Loss: 0.003994	Val Loss: 0.003849
Epoch  #35	Train Loss: 0.003979	Val Loss: 0.003877
Epoch  #36	Train Loss: 0.003965	Val Loss: 0.003852
Epoch  #37	Train Loss: 0.003954	Val Loss: 0.003814
Epoch  #38	Train Loss: 0.003892	Val Loss: 0.003696
Epoch  #39	Train Loss: 0.003734	Val Loss: 0.003595
Epoch  #40	Train Loss: 0.003698	Val Loss: 0.003560
Epoch  #41	Train Loss: 0.003677	Val Loss: 0.003550
Epoch  #42	Train Loss: 0.003660	Val Loss: 0.003544
Epoch  #43	Train Loss: 0.003646	Val Loss: 0.003529
