####################################
Training Start Date: 2019-09-16
Training Start Time: 15-56-56
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-09-12_16-40-41.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

Model: "sequential"

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm (CuDNNLSTM)       (None, 1000, 147)         174048    

_________________________________________________________________

activation (Activation)      (None, 1000, 147)         0         

=================================================================

Total params: 174,048

Trainable params: 174,048

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.016725	Val Loss: 0.015276
Epoch  #2	Train Loss: 0.010473	Val Loss: 0.007595
Epoch  #3	Train Loss: 0.007397	Val Loss: 0.007002
Epoch  #4	Train Loss: 0.006935	Val Loss: 0.006623
Epoch  #5	Train Loss: 0.006589	Val Loss: 0.006310
Epoch  #6	Train Loss: 0.006281	Val Loss: 0.006073
Epoch  #7	Train Loss: 0.005943	Val Loss: 0.005669
Epoch  #8	Train Loss: 0.005721	Val Loss: 0.005584
Epoch  #9	Train Loss: 0.005459	Val Loss: 0.005403
Epoch  #10	Train Loss: 0.005245	Val Loss: 0.005168
Epoch  #11	Train Loss: 0.005099	Val Loss: 0.004936
Epoch  #12	Train Loss: 0.004984	Val Loss: 0.005367
Epoch  #13	Train Loss: 0.004883	Val Loss: 0.004706
Epoch  #14	Train Loss: 0.004790	Val Loss: 0.004589
Epoch  #15	Train Loss: 0.004711	Val Loss: 0.004572
Epoch  #16	Train Loss: 0.004640	Val Loss: 0.004541
Epoch  #17	Train Loss: 0.004575	Val Loss: 0.004430
Epoch  #18	Train Loss: 0.004512	Val Loss: 0.004381
Epoch  #19	Train Loss: 0.004455	Val Loss: 0.004294
Epoch  #20	Train Loss: 0.004399	Val Loss: 0.004255
Epoch  #21	Train Loss: 0.004343	Val Loss: 0.004193
Epoch  #22	Train Loss: 0.004292	Val Loss: 0.004178
Epoch  #23	Train Loss: 0.004245	Val Loss: 0.004114
Epoch  #24	Train Loss: 0.004203	Val Loss: 0.004053
Epoch  #25	Train Loss: 0.004153	Val Loss: 0.004060
Epoch  #26	Train Loss: 0.004113	Val Loss: 0.003998
Epoch  #27	Train Loss: 0.004065	Val Loss: 0.003927
Epoch  #28	Train Loss: 0.004026	Val Loss: 0.003930
Epoch  #29	Train Loss: 0.003992	Val Loss: 0.003857
Epoch  #30	Train Loss: 0.003956	Val Loss: 0.003895
Epoch  #31	Train Loss: 0.003924	Val Loss: 0.003811
Epoch  #32	Train Loss: 0.003894	Val Loss: 0.003778
Epoch  #33	Train Loss: 0.003865	Val Loss: 0.003761
Epoch  #34	Train Loss: 0.003840	Val Loss: 0.003781
Epoch  #35	Train Loss: 0.003814	Val Loss: 0.003745
Epoch  #36	Train Loss: 0.003789	Val Loss: 0.003688
Epoch  #37	Train Loss: 0.003767	Val Loss: 0.003644
Epoch  #38	Train Loss: 0.003743	Val Loss: 0.003613
Epoch  #39	Train Loss: 0.003724	Val Loss: 0.003671
Epoch  #40	Train Loss: 0.003704	Val Loss: 0.003573
Epoch  #41	Train Loss: 0.003684	Val Loss: 0.003615
Epoch  #42	Train Loss: 0.003669	Val Loss: 0.003593
Epoch  #43	Train Loss: 0.003649	Val Loss: 0.003537
Epoch  #44	Train Loss: 0.003633	Val Loss: 0.003600
Epoch  #45	Train Loss: 0.003615	Val Loss: 0.003477
Epoch  #46	Train Loss: 0.003601	Val Loss: 0.003498
Epoch  #47	Train Loss: 0.003586	Val Loss: 0.003502
Epoch  #48	Train Loss: 0.003571	Val Loss: 0.003506
Epoch  #49	Train Loss: 0.003555	Val Loss: 0.003462
Epoch  #50	Train Loss: 0.003539	Val Loss: 0.003440
Epoch  #51	Train Loss: 0.003541	Val Loss: 0.003450
Epoch  #52	Train Loss: 0.003511	Val Loss: 0.003422
Epoch  #53	Train Loss: 0.003493	Val Loss: 0.003423
Epoch  #54	Train Loss: 0.003478	Val Loss: 0.003369
Epoch  #55	Train Loss: 0.003463	Val Loss: 0.003393
Epoch  #56	Train Loss: 0.003453	Val Loss: 0.003350
Epoch  #57	Train Loss: 0.003439	Val Loss: 0.003319
Epoch  #58	Train Loss: 0.003426	Val Loss: 0.003386
Epoch  #59	Train Loss: 0.003416	Val Loss: 0.003312
Epoch  #60	Train Loss: 0.003403	Val Loss: 0.003318
Epoch  #61	Train Loss: 0.003395	Val Loss: 0.003319
Epoch  #62	Train Loss: 0.003382	Val Loss: 0.003289
Epoch  #63	Train Loss: 0.003373	Val Loss: 0.003289
Epoch  #64	Train Loss: 0.003362	Val Loss: 0.003264
Epoch  #65	Train Loss: 0.003351	Val Loss: 0.003252
Epoch  #66	Train Loss: 0.003343	Val Loss: 0.003244
Epoch  #67	Train Loss: 0.003336	Val Loss: 0.003254
Epoch  #68	Train Loss: 0.003327	Val Loss: 0.003237
Epoch  #69	Train Loss: 0.003318	Val Loss: 0.003239
Epoch  #70	Train Loss: 0.003310	Val Loss: 0.003207
Epoch  #71	Train Loss: 0.003302	Val Loss: 0.003209
Epoch  #72	Train Loss: 0.003296	Val Loss: 0.003216
Epoch  #73	Train Loss: 0.003288	Val Loss: 0.003225
Epoch  #74	Train Loss: 0.003281	Val Loss: 0.003216
Epoch  #75	Train Loss: 0.003275	Val Loss: 0.003184
Epoch  #76	Train Loss: 0.003268	Val Loss: 0.003167
Epoch  #77	Train Loss: 0.003262	Val Loss: 0.003171
Epoch  #78	Train Loss: 0.003257	Val Loss: 0.003162
Epoch  #79	Train Loss: 0.003249	Val Loss: 0.003163
Epoch  #80	Train Loss: 0.003243	Val Loss: 0.003148
Epoch  #81	Train Loss: 0.003236	Val Loss: 0.003151
Epoch  #82	Train Loss: 0.003230	Val Loss: 0.003148
Epoch  #83	Train Loss: 0.003224	Val Loss: 0.003122
Epoch  #84	Train Loss: 0.003218	Val Loss: 0.003125
Epoch  #85	Train Loss: 0.003212	Val Loss: 0.003126
Epoch  #86	Train Loss: 0.003212	Val Loss: 0.003107
Epoch  #87	Train Loss: 0.003199	Val Loss: 0.003131
Epoch  #88	Train Loss: 0.003192	Val Loss: 0.003096
Epoch  #89	Train Loss: 0.003186	Val Loss: 0.003089
Epoch  #90	Train Loss: 0.003180	Val Loss: 0.003091
Epoch  #91	Train Loss: 0.003175	Val Loss: 0.003109
Epoch  #92	Train Loss: 0.003171	Val Loss: 0.003090
Epoch  #93	Train Loss: 0.003164	Val Loss: 0.003093
Epoch  #94	Train Loss: 0.003160	Val Loss: 0.003080
Epoch  #95	Train Loss: 0.003155	Val Loss: 0.003071
Epoch  #96	Train Loss: 0.003149	Val Loss: 0.003056
Epoch  #97	Train Loss: 0.003145	Val Loss: 0.003057
Epoch  #98	Train Loss: 0.003141	Val Loss: 0.003050
Epoch  #99	Train Loss: 0.003135	Val Loss: 0.003073
Epoch  #100	Train Loss: 0.003130	Val Loss: 0.003059

#####  TRAIN/VAL MEAN ACCURACY  #####
Epoch  #5	Train Mean Accuracy: 0.877307	Val Mean Accuracy: 0.878061
Epoch  #10	Train Mean Accuracy: 0.894671	Val Mean Accuracy: 0.895496
Epoch  #15	Train Mean Accuracy: 0.908912	Val Mean Accuracy: 0.909690
Epoch  #20	Train Mean Accuracy: 0.916171	Val Mean Accuracy: 0.916949
Epoch  #25	Train Mean Accuracy: 0.921529	Val Mean Accuracy: 0.922429
Epoch  #30	Train Mean Accuracy: 0.927144	Val Mean Accuracy: 0.927986
Epoch  #35	Train Mean Accuracy: 0.931671	Val Mean Accuracy: 0.932437
Epoch  #40	Train Mean Accuracy: 0.934655	Val Mean Accuracy: 0.935605
Epoch  #45	Train Mean Accuracy: 0.937140	Val Mean Accuracy: 0.938030
Epoch  #50	Train Mean Accuracy: 0.938577	Val Mean Accuracy: 0.939513
Epoch  #55	Train Mean Accuracy: 0.938930	Val Mean Accuracy: 0.939807
Epoch  #60	Train Mean Accuracy: 0.941540	Val Mean Accuracy: 0.942351
Epoch  #65	Train Mean Accuracy: 0.942227	Val Mean Accuracy: 0.943089
Epoch  #70	Train Mean Accuracy: 0.943889	Val Mean Accuracy: 0.944706
Epoch  #75	Train Mean Accuracy: 0.943828	Val Mean Accuracy: 0.944653
Epoch  #80	Train Mean Accuracy: 0.945625	Val Mean Accuracy: 0.946366
Epoch  #85	Train Mean Accuracy: 0.945214	Val Mean Accuracy: 0.946006
Epoch  #90	Train Mean Accuracy: 0.947022	Val Mean Accuracy: 0.947808
Epoch  #95	Train Mean Accuracy: 0.947156	Val Mean Accuracy: 0.947956
Epoch  #100	Train Mean Accuracy: 0.948631	Val Mean Accuracy: 0.949374

#####  TRAIN/VAL MEDIAN ACCURACY  #####
Epoch  #5	Train Median Accuracy: 0.835788	Val Median Accuracy: 0.838621
Epoch  #10	Train Median Accuracy: 0.860534	Val Median Accuracy: 0.863729
Epoch  #15	Train Median Accuracy: 0.871214	Val Median Accuracy: 0.874207
Epoch  #20	Train Median Accuracy: 0.878896	Val Median Accuracy: 0.882314
Epoch  #25	Train Median Accuracy: 0.880103	Val Median Accuracy: 0.883347
Epoch  #30	Train Median Accuracy: 0.886652	Val Median Accuracy: 0.889443
Epoch  #35	Train Median Accuracy: 0.888673	Val Median Accuracy: 0.891516
Epoch  #40	Train Median Accuracy: 0.889259	Val Median Accuracy: 0.892472
Epoch  #45	Train Median Accuracy: 0.891121	Val Median Accuracy: 0.894086
Epoch  #50	Train Median Accuracy: 0.891358	Val Median Accuracy: 0.894470
Epoch  #55	Train Median Accuracy: 0.892610	Val Median Accuracy: 0.895438
Epoch  #60	Train Median Accuracy: 0.893031	Val Median Accuracy: 0.895964
Epoch  #65	Train Median Accuracy: 0.895031	Val Median Accuracy: 0.897955
Epoch  #70	Train Median Accuracy: 0.896648	Val Median Accuracy: 0.899505
Epoch  #75	Train Median Accuracy: 0.896113	Val Median Accuracy: 0.898866
Epoch  #80	Train Median Accuracy: 0.896331	Val Median Accuracy: 0.899247
Epoch  #85	Train Median Accuracy: 0.896395	Val Median Accuracy: 0.899343
Epoch  #90	Train Median Accuracy: 0.898023	Val Median Accuracy: 0.900930
Epoch  #95	Train Median Accuracy: 0.897207	Val Median Accuracy: 0.900159
Epoch  #100	Train Median Accuracy: 0.898896	Val Median Accuracy: 0.901818
