####################################
Training Start Date: 2019-07-09
Training Start Time: 11-25-57
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-07-05_13-30-58.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

cu_dnnlstm_1 (CuDNNLSTM)     (None, 1000, 109)         95920     

_________________________________________________________________

activation_1 (Activation)    (None, 1000, 109)         0         

=================================================================

Total params: 95,920

Trainable params: 95,920

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.027707	Val Loss: 0.022831
Epoch  #2	Train Loss: 0.022207	Val Loss: 0.021593
Epoch  #3	Train Loss: 0.021508	Val Loss: 0.021343
Epoch  #4	Train Loss: 0.021320	Val Loss: 0.021189
Epoch  #5	Train Loss: 0.021211	Val Loss: 0.021116
Epoch  #6	Train Loss: 0.021144	Val Loss: 0.021021
Epoch  #7	Train Loss: 0.021395	Val Loss: 0.020937
Epoch  #8	Train Loss: 0.020970	Val Loss: 0.020885
Epoch  #9	Train Loss: 0.020906	Val Loss: 0.020787
Epoch  #10	Train Loss: 0.020855	Val Loss: 0.020919
Epoch  #11	Train Loss: 0.020837	Val Loss: 0.020719
Epoch  #12	Train Loss: 0.020737	Val Loss: 0.020550
Epoch  #13	Train Loss: 0.020625	Val Loss: 0.020499
Epoch  #14	Train Loss: 0.020552	Val Loss: 0.020356
Epoch  #15	Train Loss: 0.020505	Val Loss: 0.020405
Epoch  #16	Train Loss: 0.020401	Val Loss: 0.020182
Epoch  #17	Train Loss: 0.020248	Val Loss: 0.020379
Epoch  #18	Train Loss: 0.020224	Val Loss: 0.020047
Epoch  #19	Train Loss: 0.020086	Val Loss: 0.019936
Epoch  #20	Train Loss: 0.020095	Val Loss: 0.019869
Epoch  #21	Train Loss: 0.020034	Val Loss: 0.019767
Epoch  #22	Train Loss: 0.019853	Val Loss: 0.019742
Epoch  #23	Train Loss: 0.019781	Val Loss: 0.019641
Epoch  #24	Train Loss: 0.019823	Val Loss: 0.019698
Epoch  #25	Train Loss: 0.019734	Val Loss: 0.019590
Epoch  #26	Train Loss: 0.019599	Val Loss: 0.019520
Epoch  #27	Train Loss: 0.019620	Val Loss: 0.019403
Epoch  #28	Train Loss: 0.019479	Val Loss: 0.019583
Epoch  #29	Train Loss: 0.019449	Val Loss: 0.019340
Epoch  #30	Train Loss: 0.019408	Val Loss: 0.019156
Epoch  #31	Train Loss: 0.019334	Val Loss: 0.019132
Epoch  #32	Train Loss: 0.019295	Val Loss: 0.019070
Epoch  #33	Train Loss: 0.017836	Val Loss: 0.017312
Epoch  #34	Train Loss: 0.017270	Val Loss: 0.017225
Epoch  #35	Train Loss: 0.017220	Val Loss: 0.017237
Epoch  #36	Train Loss: 0.017114	Val Loss: 0.017030
Epoch  #37	Train Loss: 0.017128	Val Loss: 0.017049
Epoch  #38	Train Loss: 0.016951	Val Loss: 0.016937
Epoch  #39	Train Loss: 0.016875	Val Loss: 0.016778
Epoch  #40	Train Loss: 0.016915	Val Loss: 0.016689
Epoch  #41	Train Loss: 0.016692	Val Loss: 0.016770
Epoch  #42	Train Loss: 0.016757	Val Loss: 0.016654
Epoch  #43	Train Loss: 0.016578	Val Loss: 0.016652
Epoch  #44	Train Loss: 0.016610	Val Loss: 0.016554
Epoch  #45	Train Loss: 0.016494	Val Loss: 0.016572
Epoch  #46	Train Loss: 0.016521	Val Loss: 0.016415
Epoch  #47	Train Loss: 0.016427	Val Loss: 0.016366
Epoch  #48	Train Loss: 0.016344	Val Loss: 0.016307
Epoch  #49	Train Loss: 0.016407	Val Loss: 0.016833
Epoch  #50	Train Loss: 0.016333	Val Loss: 0.016185
Epoch  #51	Train Loss: 0.016197	Val Loss: 0.016143
Epoch  #52	Train Loss: 0.016246	Val Loss: 0.016207
Epoch  #53	Train Loss: 0.016150	Val Loss: 0.016120
Epoch  #54	Train Loss: 0.016141	Val Loss: 0.016373
Epoch  #55	Train Loss: 0.016211	Val Loss: 0.016038
Epoch  #56	Train Loss: 0.016007	Val Loss: 0.015942
Epoch  #57	Train Loss: 0.016090	Val Loss: 0.016028
Epoch  #58	Train Loss: 0.015976	Val Loss: 0.015971
Epoch  #59	Train Loss: 0.014591	Val Loss: 0.013610
