####################################
Training Start Date: 2019-04-28
Training Start Time: 19-20-02
Batch Size: 64
Epoch: 100
Feature file used: features_tls_2019-04-28_12-15-28.csv
Existing model used: None
Split Ratio: 0.05
Seed: 2019
####################################

_________________________________________________________________

Layer (type)                 Output Shape              Param #   

=================================================================

lstm_1 (LSTM)                (None, 100, 146)          171112    

_________________________________________________________________

activation_1 (Activation)    (None, 100, 146)          0         

=================================================================

Total params: 171,112

Trainable params: 171,112

Non-trainable params: 0

_________________________________________________________________

#####  TRAIN/VAL LOSS  #####
Epoch  #1	Train Loss: 0.014862	Val Loss: 0.012887
Epoch  #2	Train Loss: 0.012668	Val Loss: 0.012336
Epoch  #3	Train Loss: 0.012191	Val Loss: 0.011933
Epoch  #4	Train Loss: 0.011817	Val Loss: 0.011646
Epoch  #5	Train Loss: 0.011564	Val Loss: 0.011416
Epoch  #6	Train Loss: 0.011350	Val Loss: 0.011281
Epoch  #7	Train Loss: 0.011180	Val Loss: 0.011030
Epoch  #8	Train Loss: 0.011046	Val Loss: 0.010922
Epoch  #9	Train Loss: 0.010891	Val Loss: 0.010921
Epoch  #10	Train Loss: 0.010788	Val Loss: 0.010864
Epoch  #11	Train Loss: 0.010679	Val Loss: 0.010541
Epoch  #12	Train Loss: 0.010595	Val Loss: 0.010517
Epoch  #13	Train Loss: 0.010514	Val Loss: 0.010385
Epoch  #14	Train Loss: 0.010445	Val Loss: 0.010313
Epoch  #15	Train Loss: 0.010380	Val Loss: 0.010258
Epoch  #16	Train Loss: 0.010333	Val Loss: 0.010198
Epoch  #17	Train Loss: 0.010270	Val Loss: 0.010123
Epoch  #18	Train Loss: 0.010219	Val Loss: 0.010086
Epoch  #19	Train Loss: 0.010167	Val Loss: 0.010025
Epoch  #20	Train Loss: 0.010121	Val Loss: 0.009989
Epoch  #21	Train Loss: 0.010077	Val Loss: 0.009956
Epoch  #22	Train Loss: 0.010036	Val Loss: 0.010014
Epoch  #23	Train Loss: 0.009994	Val Loss: 0.009909
Epoch  #24	Train Loss: 0.009947	Val Loss: 0.009998
Epoch  #25	Train Loss: 0.009916	Val Loss: 0.009841
Epoch  #26	Train Loss: 0.009875	Val Loss: 0.009784
Epoch  #27	Train Loss: 0.009843	Val Loss: 0.009786
Epoch  #28	Train Loss: 0.009807	Val Loss: 0.009736
Epoch  #29	Train Loss: 0.009776	Val Loss: 0.009650
Epoch  #30	Train Loss: 0.009730	Val Loss: 0.009637
Epoch  #31	Train Loss: 0.009664	Val Loss: 0.009543
Epoch  #32	Train Loss: 0.009608	Val Loss: 0.009547
Epoch  #33	Train Loss: 0.009539	Val Loss: 0.009390
Epoch  #34	Train Loss: 0.009488	Val Loss: 0.009345
Epoch  #35	Train Loss: 0.009438	Val Loss: 0.009307
Epoch  #36	Train Loss: 0.009411	Val Loss: 0.009249
Epoch  #37	Train Loss: 0.009378	Val Loss: 0.009258
Epoch  #38	Train Loss: 0.009356	Val Loss: 0.009243
Epoch  #39	Train Loss: 0.009323	Val Loss: 0.009244
Epoch  #40	Train Loss: 0.009303	Val Loss: 0.009170
Epoch  #41	Train Loss: 0.009274	Val Loss: 0.009153
Epoch  #42	Train Loss: 0.009254	Val Loss: 0.009124
Epoch  #43	Train Loss: 0.009221	Val Loss: 0.009094
Epoch  #44	Train Loss: 0.009205	Val Loss: 0.009064
Epoch  #45	Train Loss: 0.009180	Val Loss: 0.009039
Epoch  #46	Train Loss: 0.009163	Val Loss: 0.009044
Epoch  #47	Train Loss: 0.009134	Val Loss: 0.009107
Epoch  #48	Train Loss: 0.009122	Val Loss: 0.009017
Epoch  #49	Train Loss: 0.009096	Val Loss: 0.009093
Epoch  #50	Train Loss: 0.009082	Val Loss: 0.008956
Epoch  #51	Train Loss: 0.009058	Val Loss: 0.008920
Epoch  #52	Train Loss: 0.009037	Val Loss: 0.008899
Epoch  #53	Train Loss: 0.009021	Val Loss: 0.008937
Epoch  #54	Train Loss: 0.009004	Val Loss: 0.008862
Epoch  #55	Train Loss: 0.008982	Val Loss: 0.008881
Epoch  #56	Train Loss: 0.008967	Val Loss: 0.008865
Epoch  #57	Train Loss: 0.008943	Val Loss: 0.008831
Epoch  #58	Train Loss: 0.008938	Val Loss: 0.008826
Epoch  #59	Train Loss: 0.008909	Val Loss: 0.008802
Epoch  #60	Train Loss: 0.008895	Val Loss: 0.008769
